laptop,1,4,4,1132777.2, 2583551.5, 2642742.2, 2587043.0, 2481084.0, 2474385.5, 2482084.0, 2607392.5, 2547362.8, 2654793.8
laptop,1,20,60,2687176.8, 3408551.2, 3218706.8, 3130929.0, 3126363.5, 3215129.0, 3156493.2, 3290805.2, 3310027.8, 3333867.8
laptop,2,4,4,927131.06, 2292017.8, 2242312.8, 2184856.2, 2097197.8, 1413386.6, 2289620.2, 2410177.2, 2436653.2, 2350912.0
laptop,2,20,60,1853984.9, 1931148.2, 2142166.8, 2213877.2, 2190977.0, 2048299.6, 2005414.8, 1987972.4, 1887854.6, 1971045.8
laptop,4,4,4,485262.38, 1254200.8, 1376793.2, 1287354.5, 1662827.1, 1461647.9, 1359236.0, 1346093.4, 1547187.8, 1627282.6
laptop,4,20,60,639754.0, 798919.94, 970017.44, 1036289.4, 1057025.1, 1010742.44, 1016843.06, 1002790.56, 1026559.06, 871344.0
laptop,8,4,4,385782.75, 833827.75, 783807.1, 645404.56, 651158.8, 736978.0, 614973.75, 654218.7, 740464.44, 790828.75
laptop,8,20,60,364344.4, 236022.44, 195636.38, 189560.75, 178552.22, 179790.39, 180024.95, 170417.33, 176554.9, 184585.06
server,1,4,4,792270.0, 1619325.0, 1650300.0, 1650555.0, 1648065.0, 1652197.0, 1646048.5, 1653510.0, 1647548.1, 1653816.5
server,1,20,60,1476257.1, 1942499.4, 2027934.0, 2073883.6, 2054271.1, 2019788.2, 1991213.4, 2007804.4, 1952221.6, 2088249.9
server,2,4,4,726240.0, 1593330.0, 1673715.0, 1677945.0, 1676400.0, 1676910.0, 1671285.0, 1600305.0, 1599510.0, 1599765.0
server,2,20,60,1022656.75, 1343198.4, 1349043.2, 1387102.0, 1339345.8, 1320118.8, 1395421.0, 1390217.0, 1423058.8, 1400435.6
server,4,4,4,710445.0, 1490552.4, 1536240.0, 1536330.0, 1530119.9, 1535910.0, 1535760.0, 1535085.0, 1534755.0, 1660199.9
server,4,20,60,845121.7, 1034721.06, 1058092.0, 1047261.8, 1032259.3, 1110753.1, 1081979.0, 1084278.9, 1089111.2, 1085036.5
server,8,4,4,536880.0, 1254990.0, 1198785.0, 1205400.1, 1386900.0, 1406213.5, 1220895.0, 1384935.0, 1374285.0, 1369292.6
server,8,20,60,442507.62, 632384.4, 645141.75, 648593.8, 648311.7, 756958.7, 742681.75, 645982.9, 632931.7, 626758.56
server,16,4,4,540060.0, 1253266.8, 1268910.0, 1271097.2, 1255485.0, 1497420.0, 1493985.0, 1493490.0, 1491810.0, 1250970.0
server,16,20,60,365824.53, 404764.25, 552234.2, 543371.9, 540804.94, 540772.94, 538221.2, 539543.1, 387059.3, 376326.1
