BenchName,Algo,Critical Compensate,Validation level,WW allowed,Store enabled,Cuckoo enabled,ConflictFraction,NumFeeAccounts,NumProgs,NumThreads,Duration(ms),Committed,FailedEx,FailedVal,FailedExRate,FailedValRate,Throughput(ktps),ScaledTime,numValidations,numValAgainst,avgValAgainst,AvgValRound,Exec time(ms),Val time(ms),Commit Time(ms),Compensate Time(ms),T0-T finished,T0-T failedEx,T0-TfailedVal,T0-TNC finished,T0-TNC failedEx,T0-TNCfailedVal,T1-T finished,T1-T failedEx,T1-TfailedVal,T1-TNC finished,T1-TNC failedEx,T1-TNCfailedVal,T2-T finished,T2-T failedEx,T2-TfailedVal,T2-TNC finished,T2-TNC failedEx,T2-TNCfailedVal,T3-T finished,T3-T failedEx,T3-TfailedVal,T3-TNC finished,T3-TNC failedEx,T3-TNCfailedVal,T4-T finished,T4-T failedEx,T4-TfailedVal,T4-TNC finished,T4-TNC failedEx,T4-TNCfailedVal
Banking,MV3C,Y,R,Y,N,N,0.7,1,50000,5,77.315,47466,0,32089,0,0.676042,613,81.4425,47466,188911,3.97992,19.7727,0,0,0,0,7034,0,6924,2927,0,0,6925,0,6827,2938,0,0,6972,0,6083,3029,0,0,6228,0,6162,2584,0,0,6169,0,6093,2660,0,0
Banking,OMVCC,X,R,N,N,N,0.8,1,50000,5,430.735,40541,94438,0,2.32944,0,94,531.234,40541,11253,0.277571,1.00086,0,0,0,0,6629,18992,0,1650,0,0,6343,18897,0,1546,0,0,3603,19367,0,945,0,0,7930,18776,0,1899,0,0,7991,18406,0,2005,0,0
Banking,MV3C,Y,R,Y,N,N,0.8,1,50000,5,81.68,47548,0,37073,0,0.779696,582,85.8922,47548,189526,3.98599,20.283,0,0,0,0,8032,0,7973,1969,0,0,7873,0,7826,1930,0,0,7052,0,7030,1797,0,0,8024,0,7107,1923,0,0,7168,0,7137,1780,0,0
Banking,OMVCC,X,R,N,N,N,0.9,1,50000,5,267.31,34977,107487,0,3.07308,0,130,382.123,34977,4750,0.135804,1.0014,0,0,0,0,9017,20385,0,984,0,0,7882,20408,0,845,0,0,6082,21691,0,656,0,0,3789,22623,0,429,0,0,4764,22380,0,529,0,0
Banking,MV3C,Y,R,Y,N,N,0.9,1,50000,5,86.27,46874,0,41170,0,0.878312,543,92.0233,46874,187228,3.99428,21.1696,0,0,0,0,7970,0,7963,875,0,0,8024,0,8011,863,0,0,8994,0,7986,1007,0,0,8629,0,8617,933,0,0,8614,0,8593,965,0,0
Banking,OMVCC,X,R,N,N,N,1,1,50000,5,211.062,23797,78360,0,3.29285,0,112,443.463,23797,0,0,1,0,0,0,0,10001,11994,0,0,0,0,4643,15819,0,0,0,0,3165,16775,0,0,0,0,4031,16922,0,0,0,0,1957,16850,0,0,0,0
Banking,MV3C,Y,R,Y,N,N,1,1,50000,5,91.457,45963,0,44866,0,0.976133,502,99.4898,45963,183831,3.99954,22.2264,0,0,0,0,8498,0,8498,0,0,0,9456,0,9456,0,0,0,9376,0,9375,0,0,0,10001,0,8906,0,0,0,8632,0,8631,0,0,0
Banking,OMVCC,X,R,N,N,N,0,1,50000,5,53.035,46422,0,0,0,0,875,57.1227,46422,185482,3.99556,1.47557,0,0,0,0,0,0,0,9666,0,0,0,0,0,9056,0,0,0,0,0,8649,0,0,0,0,0,10001,0,0,0,0,0,9050,0,0
Banking,MV3C,Y,R,Y,N,N,0,1,50000,5,50.424,43114,0,0,0,0,855,58.4775,43114,172409,3.99891,1.44164,0,0,0,0,0,0,0,8345,0,0,0,0,0,10001,0,0,0,0,0,8162,0,0,0,0,0,8020,0,0,0,0,0,8586,0,0
Banking,OMVCC,X,R,N,N,N,0.1,1,50000,5,68.791,40756,3493,0,0.0857052,0,592,84.3937,40756,145628,3.57317,1.23238,0,0,0,0,788,671,0,7104,0,0,793,688,0,7045,0,0,716,687,0,6937,0,0,754,740,0,6623,0,0,1016,707,0,8980,0,0
Banking,MV3C,Y,R,Y,N,N,0.1,1,50000,5,51.56,44071,0,1837,0,0.0416827,854,58.4965,44071,175904,3.99138,4.0558,0,0,0,0,841,0,366,7658,0,0,860,0,362,7557,0,0,918,0,336,9083,0,0,867,0,393,7563,0,0,891,0,380,7833,0,0
Banking,OMVCC,X,R,N,N,N,0.2,1,50000,5,97.815,42089,16945,0,0.402599,0,430,116.2,42089,106225,2.52382,1.1417,0,0,0,0,1778,3226,0,7032,0,0,2075,3230,0,7926,0,0,1644,3224,0,6823,0,0,1408,3801,0,5446,0,0,1636,3464,0,6321,0,0
Banking,MV3C,Y,R,Y,N,N,0.2,1,50000,5,57.129,43405,0,5764,0,0.132796,759,65.8092,43405,173227,3.99095,8.69897,0,0,0,0,1711,0,1141,6733,0,0,2075,0,1172,7926,0,0,1615,0,1098,6656,0,0,1686,0,1166,6541,0,0,1740,0,1187,6722,0,0
Banking,OMVCC,X,R,N,N,N,0.3,1,50000,5,142.659,46099,31690,0,0.687434,0,323,154.731,46099,82470,1.78898,1.03456,0,0,0,0,3028,6121,0,6973,0,0,2646,6307,0,6135,0,0,2950,6428,0,6886,0,0,2774,6306,0,6164,0,0,2608,6528,0,5935,0,0
Banking,MV3C,Y,R,Y,N,N,0.3,1,50000,5,59.692,42485,0,10298,0,0.242391,711,70.2507,42485,168584,3.96808,13.9641,0,0,0,0,2649,0,2125,6130,0,0,3050,0,2113,6951,0,0,2432,0,2039,5660,0,0,2378,0,1986,5245,0,0,2433,0,2035,5557,0,0
Banking,OMVCC,X,R,N,N,N,0.4,1,50000,5,225.859,38748,40276,0,1.03943,0,171,291.446,38748,48499,1.25165,1.00937,0,0,0,0,2183,8468,0,3337,0,0,3162,8322,0,4660,0,0,4001,7384,0,6000,0,0,2982,8064,0,4351,0,0,3290,8038,0,4782,0,0
Banking,MV3C,Y,R,Y,N,N,0.4,1,50000,5,70.789,47897,0,17304,0,0.361275,676,73.8971,47897,189995,3.96674,18.1249,0,0,0,0,4039,0,3624,5962,0,0,4070,0,3627,5930,0,0,3708,0,3274,5604,0,0,3765,0,3385,5597,0,0,3751,0,3394,5471,0,0
Banking,OMVCC,X,R,N,N,N,0.5,1,50000,5,208.177,42213,68562,0,1.62419,0,202,246.579,42213,38162,0.904034,1.02331,0,0,0,0,5037,13010,0,4964,0,0,4929,13528,0,4771,0,0,4007,13858,0,4028,0,0,3903,13957,0,3824,0,0,3436,14209,0,3314,0,0
Banking,MV3C,Y,R,Y,N,N,0.5,1,50000,5,83.824,46054,0,21351,0,0.463608,549,91.0062,46054,183048,3.97464,25.4344,0,0,0,0,4448,0,4224,4419,0,0,4707,0,4436,4565,0,0,4988,0,4118,5013,0,0,4445,0,4222,4359,0,0,4605,0,4351,4505,0,0
Banking,OMVCC,X,R,N,N,N,0.6,1,50000,5,239.209,38568,76862,0,1.9929,0,161,310.113,38568,26329,0.682664,1.00895,0,0,0,0,4807,15182,0,3187,0,0,4139,15715,0,2639,0,0,3808,15772,0,2599,0,0,4482,15421,0,2911,0,0,6002,14772,0,3994,0,0
Banking,MV3C,Y,R,Y,N,N,0.6,1,50000,5,73.594,45759,0,26093,0,0.570227,621,80.4148,45759,182005,3.97747,20.664,0,0,0,0,5620,0,5463,3674,0,0,5565,0,5389,3616,0,0,5191,0,5071,3511,0,0,5211,0,5100,3375,0,0,6002,0,5070,3994,0,0
Banking,OMVCC,X,R,N,N,N,0.7,1,50000,5,217.786,35465,71478,0,2.01545,0,162,307.044,35465,16636,0.469082,1.00217,0,0,0,0,4713,14489,0,1981,0,0,4451,14489,0,1889,0,0,6972,13506,0,3029,0,0,3737,14599,0,1564,0,0,4989,14395,0,2140,0,0
Banking,MV3C,Y,R,Y,N,N,0.7,1,50000,5,73.014,43726,0,29428,0,0.673009,598,83.4904,43726,174192,3.98372,20.2453,0,0,0,0,5707,0,5642,2404,0,0,5739,0,5676,2439,0,0,6073,0,6005,2629,0,0,6181,0,6088,2558,0,0,6967,0,6017,3029,0,0
Banking,OMVCC,X,R,N,N,N,0.8,1,50000,5,226.481,31464,84606,0,2.68898,0,138,359.905,31464,10243,0.325547,1.00292,0,0,0,0,8032,14800,0,1969,0,0,5131,16920,0,1254,0,0,5285,17327,0,1331,0,0,3825,17707,0,926,0,0,2952,17852,0,759,0,0
Banking,MV3C,Y,R,Y,N,N,0.8,1,50000,5,82.854,46466,0,36098,0,0.776869,560,89.1555,46466,185313,3.98814,20.5788,0,0,0,0,6911,0,6882,1707,0,0,7687,0,7647,1877,0,0,7363,0,7329,1884,0,0,7286,0,7253,1755,0,0,7991,0,6987,2005,0,0
Banking,OMVCC,X,R,N,N,N,0.9,1,50000,5,296.329,37013,115520,0,3.12107,0,124,400.304,37013,3815,0.103072,1.00105,0,0,0,0,9017,21337,0,984,0,0,7559,22436,0,812,0,0,6369,23514,0,692,0,0,4818,24422,0,549,0,0,5589,23811,0,624,0,0
Banking,MV3C,Y,R,Y,N,N,0.9,1,50000,5,85.614,47363,0,41465,0,0.875472,553,90.3807,47363,189194,3.99455,20.8862,0,0,0,0,7985,0,7968,875,0,0,9015,0,7892,986,0,0,8212,0,8197,911,0,0,8665,0,8652,940,0,0,8783,0,8756,991,0,0
Banking,OMVCC,X,R,N,N,N,1,1,50000,5,322.25,38363,110182,0,2.87209,0,119,420.001,38363,0,0,1,0,0,0,0,9288,21894,0,0,0,0,10001,21972,0,0,0,0,5498,22749,0,0,0,0,4028,22075,0,0,0,0,9548,21492,0,0,0,0
Banking,MV3C,Y,R,Y,N,N,1,1,50000,5,95.256,47752,0,46872,0,0.981571,501,99.7403,47752,190986,3.99954,22.8268,0,0,0,0,9335,0,9335,0,0,0,10001,0,9122,0,0,0,9103,0,9103,0,0,0,9359,0,9359,0,0,0,9954,0,9953,0,0,0
Banking,OMVCC,X,R,N,N,N,0,1,50000,5,48.491,42426,0,0,0,0,874,57.1477,42426,169599,3.99753,1.42443,0,0,0,0,0,0,0,10001,0,0,0,0,0,8153,0,0,0,0,0,7895,0,0,0,0,0,8122,0,0,0,0,0,8255,0,0
Banking,MV3C,Y,R,Y,N,N,0,1,50000,5,49.337,42868,0,0,0,0,868,57.5453,42868,171385,3.99797,1.49979,0,0,0,0,0,0,0,10001,0,0,0,0,0,8170,0,0,0,0,0,8099,0,0,0,0,0,8038,0,0,0,0,0,8560,0,0
Banking,OMVCC,X,R,N,N,N,0.1,1,50000,5,68.867,44312,4148,0,0.093609,0,643,77.7069,44312,157149,3.54642,1.24668,0,0,0,0,884,747,0,8036,0,0,1052,896,0,8949,0,0,784,816,0,7555,0,0,853,848,0,7406,0,0,899,841,0,7894,0,0
Banking,MV3C,Y,R,Y,N,N,0.1,1,50000,5,83.08,41684,0,1786,0,0.0428462,501,99.6545,41684,166613,3.99705,4.91172,0,0,0,0,994,0,338,9007,0,0,836,0,350,7357,0,0,687,0,332,6585,0,0,812,0,369,7105,0,0,859,0,397,7442,0,0
